iter	RMSE
0	8.62521112
1	8.194383798
2	7.83992052
3	7.375465442
4	7.044775996
5	6.789863624
6	6.494956879
7	6.240011233
8	5.970022289
9	5.724346632
10	5.435803992
11	5.309847467
12	5.178159725
13	4.990956284
14	4.784334815
15	4.647609152
16	4.51107095
17	4.409086919
18	4.26948735
19	4.170337621
20	4.100440368
21	4.00937595
22	3.958402937
23	3.858514085
24	3.739324583
25	3.649185694
26	3.548971905
27	3.483309764
28	3.431020754
29	3.374944581
30	3.317859167
31	3.286664432
32	3.219094266
33	3.183254205
34	3.154273236
35	3.091550423
36	3.065993051
37	3.009691909
38	2.968192433
39	2.940117817
40	2.907189841
41	2.879758538
42	2.838175684
43	2.793981148
44	2.775817938
45	2.754139009
46	2.721091259
47	2.696050709
48	2.671657787
49	2.645411586
50	2.629752537
51	2.619616907
52	2.590602385
53	2.57851481
54	2.559406661
55	2.537454685
56	2.523936187
57	2.504749562
58	2.493908268
59	2.483517742
60	2.471964313
61	2.461492182
62	2.456948051
63	2.448631382
64	2.440750766
65	2.417042517
66	2.397891484
67	2.381726345
68	2.375040373
69	2.36851412
70	2.361830616
71	2.341529425
72	2.336207111
73	2.331664742
74	2.324993194
75	2.320059016
76	2.301401516
77	2.297011374
78	2.270675236
79	2.266536839
80	2.252931349
81	2.235525089
82	2.231678551
83	2.219725757
84	2.198503436
85	2.192692966
86	2.176158292
87	2.151438013
88	2.128288766
89	2.108602804
90	2.09042567
91	2.083957615
92	2.075661283
93	2.070363288
94	2.051889257
95	2.048732193
96	2.046636274
97	2.044552214
98	2.022798577
99	2.020072103
100	2.003886471
101	1.991036687
102	1.988868019
103	1.987060979
104	1.973748752
105	1.959534871
106	1.951372116
107	1.938934188
108	1.930508181
109	1.914111367
110	1.903586886
111	1.888710195
112	1.880819301
113	1.874934658
114	1.872613203
115	1.862189772
116	1.854302498
117	1.838626504
118	1.837053421
119	1.83005212
120	1.818961331
121	1.817522635
122	1.816092512
123	1.800775606
124	1.791811187
125	1.784471445
126	1.783130458
127	1.778123081
128	1.770133724
129	1.764295293
130	1.753322437
131	1.745361965
132	1.738023037
133	1.733488214
134	1.724231183
135	1.718165958
136	1.716893419
137	1.713997718
138	1.712806767
139	1.709663112
140	1.704959981
141	1.699008598
142	1.694719309
143	1.689370791
144	1.676340652
145	1.67273354
146	1.664578657
147	1.654854408
148	1.650438665
149	1.642651635
150	1.638707367
151	1.635020626
152	1.631894665
153	1.622808916
154	1.616700326
155	1.614986799
156	1.608761021
157	1.607909181
158	1.595857817
159	1.590470252
160	1.583699318
161	1.580420172
162	1.579603772
163	1.57376598
164	1.564453069
165	1.559275249
166	1.551486948
167	1.548087945
168	1.547330657
169	1.545044251
170	1.538738158
171	1.527139164
172	1.522892688
173	1.519575178
174	1.515420455
175	1.513470008
176	1.506016593
177	1.505065249
178	1.503163029
179	1.494862913
180	1.490018381
181	1.486521426
182	1.483029664
183	1.479072915
184	1.470627707
185	1.469064543
186	1.468137928
187	1.463529547
188	1.459618202
189	1.457834671
190	1.445926476
191	1.439672934
192	1.434294433
193	1.433653828
194	1.430739241
195	1.42603028
196	1.417510424
197	1.415596454
198	1.410350594
199	1.403809521
