iter	Passed	Remaining
0	6	1358
1	16	1590
2	21	1389
3	22	1095
4	23	912
5	24	804
6	31	873
7	32	777
8	35	758
9	36	695
10	37	641
11	38	595
12	38	555
13	39	521
14	39	491
15	41	474
16	41	451
17	42	432
18	43	416
19	44	400
20	45	385
21	45	370
22	46	357
23	47	345
24	47	334
25	48	323
26	48	312
27	49	303
28	49	294
29	50	287
30	61	332
31	62	328
32	63	320
33	64	313
34	64	306
35	65	299
36	66	293
37	67	287
38	69	286
39	70	282
40	71	276
41	74	279
42	75	274
43	77	274
44	78	269
45	78	264
46	82	268
47	86	274
48	87	268
49	89	268
50	89	262
51	92	264
52	93	259
53	94	254
54	95	252
55	96	247
56	97	243
57	97	238
58	99	237
59	101	236
60	102	232
61	102	228
62	103	224
63	103	220
64	104	216
65	104	212
66	105	209
67	105	205
68	108	205
69	109	202
70	109	199
71	110	196
72	111	193
73	111	190
74	119	198
75	122	199
76	123	196
77	123	193
78	124	190
79	125	187
80	125	184
81	126	182
82	127	179
83	129	179
84	138	187
85	141	187
86	142	184
87	142	181
88	143	178
89	144	176
90	144	173
91	145	170
92	145	167
93	147	166
94	150	166
95	152	164
96	152	162
97	155	161
98	155	158
99	156	156
100	157	154
101	158	151
102	158	149
103	158	146
104	159	144
105	159	141
106	160	139
107	161	137
108	161	134
109	163	133
110	171	137
111	172	135
112	177	136
113	180	136
114	184	136
115	186	135
116	187	132
117	187	130
118	188	128
119	192	128
120	192	125
121	193	123
122	193	121
123	194	119
124	194	116
125	195	114
126	200	115
127	202	113
128	203	111
129	209	112
130	209	110
131	211	108
132	211	106
133	212	104
134	212	102
135	213	100
136	218	100
137	219	98
138	221	97
139	221	95
140	222	93
141	225	92
142	225	90
143	226	88
144	226	86
145	227	84
146	227	82
147	228	80
148	228	78
149	229	76
150	229	74
151	233	73
152	234	72
153	234	70
154	235	68
155	235	66
156	236	64
157	236	62
158	238	61
159	239	59
160	239	58
161	240	56
162	240	54
163	242	53
164	243	51
165	244	50
166	244	48
167	246	46
168	246	45
169	247	43
170	248	42
171	248	40
172	249	38
173	249	37
174	252	36
175	253	34
176	253	32
177	254	31
178	254	29
179	255	28
180	255	26
181	256	25
182	256	23
183	263	22
184	265	21
185	268	20
186	270	18
187	272	17
188	273	15
189	280	14
190	282	13
191	286	11
192	287	10
193	288	8
194	288	7
195	289	5
196	289	4
197	290	2
198	295	1
199	295	0
